timestamp,symbol,in_universe,has_volume_slots,exists_in_polygon,polygon_name,classification
2025-11-14 11:16:28,ABRPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:28,SRPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:28,LNCPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:28,GNLPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:28,LXPPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:29,TPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:29,DUKPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:29,PSAPP,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:29,ALUB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:29,TWOPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:30,HPPPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:30,SBPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:30,EVOXU,t,t,false,"N/A",FANTASMA
2025-11-14 11:16:30,BMLPH,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:31,RFPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:31,CDRPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:31,HFROPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:31,PSAPN,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:31,EQHPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:32,SNPX,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:32,BMLPG,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:32,GLPPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:32,JPMPM,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:32,CHEC,t,t,false,"N/A",FANTASMA
2025-11-14 11:16:32,RCPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:33,AUBPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:33,JPMPK,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:33,CMAPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:33,JPMPJ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:33,GSPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:34,RJFPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:34,AHTPH,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:34,RNRPG,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:34,CHMIPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:34,TRTNPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:35,SCEPM,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:35,IIPRPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:35,ABRPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:35,FPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:35,ANGPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:36,MSPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:36,MITTPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:36,RNRPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:36,SHOPH,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:36,RWTPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,BOHPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,GABPK,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,ASBPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,FHNPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,CPN,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:37,WFCPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:38,ALLPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:38,PSAPJ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:38,PMTPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:38,ALBPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:38,AHTPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:39,SPEPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:39,MAAPI,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:39,HFROPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:39,TRTNPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,CNOPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,GTLSPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,TTOP,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,SCHWPJ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,AMHPH,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:40,ALTGPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:41,NLYPI,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:41,TRTNPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:41,ATHPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:41,WFCPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:41,ABRPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:42,GLOPPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:42,BCPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:42,DBRGPH,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:42,PEBPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:42,CMREPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:43,CIOPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:43,DBRGPI,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:43,CTOPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:43,PSAPL,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:43,GGTPG,f,f,false,"N/A",FANTASMA
